,City,Country,Lat,Lon,Temp,Cloudiness(%),Windspeed,Humidity,Max Temp,Date
46,Cockburn Town,TC,21.46,-71.14,78.76,0,19.01,81,78.76,1586917435
96,Ratnagiri,IN,16.98,73.3,84.11,0,7.61,66,84.11,1586917323
130,Yulara,AU,-25.24,130.99,86.0,0,6.93,13,86.0,1586917849
136,Ampanihy,MG,-24.7,44.75,73.38,0,4.99,65,73.38,1586917850
194,Puerto Colombia,CO,10.99,-74.95,80.6,0,6.93,78,80.6,1586917860
272,Beloha,MG,-25.17,45.05,73.02,0,4.99,71,73.02,1586917540
347,Bilma,NE,18.69,12.92,77.77,0,6.17,15,77.77,1586917887
378,Adrar,MR,20.5,-10.07,74.66,0,6.82,50,74.66,1586917893
390,Sulangan,PH,11.14,123.72,83.97,0,6.33,63,83.97,1586917895
429,Ransang,PH,8.96,117.58,83.91,0,3.18,61,83.91,1586917902
458,Port Macquarie,AU,-31.43,152.92,78.67,0,9.8,54,79.0,1586917849
467,Loikaw,MM,19.67,97.21,90.16,0,3.98,22,90.16,1586917908
482,Alice Springs,AU,-23.7,133.88,87.8,0,6.93,15,87.8,1586917912
531,Iralaya,HN,15.0,-83.23,78.17,0,10.22,80,78.17,1586917920
537,Puerto Peñasco,MX,31.32,-113.53,73.99,0,8.01,48,73.99,1586917921
570,Dali,CN,25.7,100.18,72.34,0,5.37,17,72.34,1586917400
