,City,Country,Lat,Lon,Temp,Cloudiness(%),Windspeed,Humidity,Max Temp,Date
0,Khovd,MN,48.01,91.64,44.4,96,2.28,46,44.4,1586917824
1,Faanui,PF,-16.48,-151.75,83.3,28,5.77,65,83.3,1586917397
2,Saint Paul Harbor,US,57.79,-152.41,42.8,90,8.05,87,42.8,1586917825
3,Tasiilaq,GL,65.61,-37.64,28.4,2,6.93,63,28.4,1586917825
4,Barrow,US,71.29,-156.79,12.2,90,14.99,85,12.2,1586917825
5,Puerto Ayacucho,VE,5.66,-67.62,79.29,63,4.76,48,79.29,1586917826
6,Punta Arenas,CL,-53.15,-70.92,46.2,75,11.41,81,46.4,1586917615
7,Ginir,ET,7.13,40.7,58.59,36,2.84,54,58.59,1586917826
8,La Ronge,CA,55.1,-105.28,28.4,20,4.7,33,28.4,1586917539
9,Port Alfred,ZA,-33.59,26.89,62.01,53,1.01,97,62.01,1586917826
10,Sur,OM,22.57,59.53,84.52,61,6.76,34,84.52,1586917826
11,Port Hardy,CA,50.7,-127.42,57.2,75,11.41,67,57.2,1586917529
12,Puerto Ayora,EC,-0.74,-90.35,79.0,95,5.99,93,79.0,1586917827
13,Nemuro,JP,43.32,145.57,37.4,75,11.41,55,37.4,1586917827
14,Depālpur,IN,22.85,75.55,91.49,58,12.46,16,91.49,1586917827
15,Mazara del Vallo,IT,37.66,12.59,54.86,5,6.93,87,59.0,1586917827
16,Hermanus,ZA,-34.42,19.23,57.0,86,1.01,84,57.0,1586917827
17,Avarua,CK,-21.21,-159.78,78.8,73,4.7,74,78.8,1586917724
18,Balkhash,KZ,46.84,74.98,46.29,5,16.2,47,46.29,1586917828
19,Busselton,AU,-33.65,115.33,69.42,17,16.2,37,72.0,1586917828
20,Butaritari,KI,3.07,172.79,83.73,76,15.73,79,83.73,1586917828
21,Takapau,NZ,-40.03,176.35,57.92,95,7.0,57,60.01,1586917829
22,Laguna,US,38.42,-121.42,72.84,1,3.36,16,77.0,1586917829
23,Vostok,RU,46.49,135.88,42.39,47,8.75,43,42.39,1586917829
24,Honiara,SB,-9.43,159.95,87.8,75,6.93,70,87.8,1586917829
25,Tiksi,RU,71.69,128.87,6.48,100,14.03,93,6.48,1586917830
26,Palmerston,AU,-12.49,130.98,91.35,20,16.11,52,91.99,1586917830
27,Mataura,NZ,-46.19,168.86,46.99,100,3.0,95,46.99,1586917830
28,Ambon City,ID,-3.7,128.18,87.8,40,9.17,70,87.8,1586917792
29,Yankton,US,42.87,-97.4,29.16,1,4.7,68,30.0,1586917830
30,Jamestown,US,42.1,-79.24,32.16,40,10.29,92,37.99,1586917687
31,Ponta do Sol,PT,32.67,-17.1,55.38,20,3.36,62,57.99,1586917830
32,Westport,US,41.14,-73.36,48.36,90,9.17,66,51.01,1586917831
33,Corleone,IT,37.81,13.3,54.84,0,18.99,96,59.0,1586917831
34,Nanortalik,GL,60.14,-45.24,29.32,99,6.24,91,29.32,1586917831
35,Nome,US,64.5,-165.41,33.91,90,11.41,100,34.0,1586917831
36,Labuhan,ID,-6.88,112.21,86.74,2,5.17,66,86.74,1586917831
37,Kuito,AO,-12.38,16.93,58.78,89,1.07,59,58.78,1586917832
38,Los Llanos de Aridane,ES,28.66,-17.92,64.4,32,8.05,63,64.4,1586917832
39,Nuuk,GL,64.18,-51.72,28.2,95,17.22,63,28.4,1586917429
40,Grakhovo,RU,56.05,51.97,41.0,75,15.66,60,41.0,1586917832
41,Rikitea,PF,-23.12,-134.97,76.28,32,7.07,66,76.28,1586917833
42,Yerbogachën,RU,61.28,108.01,43.7,83,5.08,66,43.7,1586917833
43,Ushuaia,AR,-54.8,-68.3,48.2,40,6.17,66,48.2,1586917833
44,Saint-Philippe,RE,-21.36,55.77,69.94,6,5.82,73,75.2,1586917833
45,Vaini,TO,-21.2,-175.2,82.4,20,6.93,69,82.4,1586917833
46,Cockburn Town,TC,21.46,-71.14,78.76,0,19.01,81,78.76,1586917435
47,Saint George,US,37.1,-113.58,57.33,1,8.05,14,61.0,1586917787
48,San Cristobal,VE,7.77,-72.22,67.57,26,1.43,58,67.57,1586917834
49,Atuona,PF,-9.8,-139.03,82.6,31,3.74,66,82.6,1586917834
50,Provideniya,RU,64.38,-173.3,32.0,90,8.95,96,32.0,1586917834
51,Yellowknife,CA,62.46,-114.35,32.0,90,12.75,95,32.0,1586917692
52,Mahébourg,MU,-20.41,57.7,77.68,75,14.99,74,78.8,1586917834
53,Beira,MZ,-19.84,34.84,75.2,65,3.36,100,75.2,1586917835
54,‘Āhuimanu,US,21.44,-157.84,77.76,75,3.36,74,78.8,1586917835
55,Tomatlán,MX,19.93,-105.25,69.48,15,5.91,63,69.48,1586917835
56,Pizhanka,RU,57.46,48.54,39.58,79,10.94,87,39.58,1586917835
57,Airai,TL,-8.93,125.41,72.5,87,3.24,53,72.5,1586917302
58,Pacific Grove,US,36.62,-121.92,62.87,1,4.7,37,70.0,1586917787
59,Havøysund,NO,71.0,24.66,32.0,94,31.09,88,32.0,1586917446
60,Ostrovnoy,RU,68.05,39.51,36.01,100,16.49,93,36.01,1586917836
61,Tessalit,ML,20.2,1.01,77.34,97,19.75,34,77.34,1586917430
62,Chokurdakh,RU,70.63,147.92,-0.72,0,8.01,90,-0.72,1586917836
63,Pombas,CV,17.15,-25.02,71.6,40,10.29,73,71.6,1586917836
64,Bredasdorp,ZA,-34.53,20.04,44.6,56,2.08,93,44.6,1586917837
65,Thompson,CA,55.74,-97.86,17.6,5,4.7,40,17.6,1586917688
66,Talnakh,RU,69.49,88.4,1.4,20,15.66,70,1.4,1586917837
67,Viedma,AR,-40.81,-63.0,54.36,36,8.77,73,54.36,1586917627
68,Husavik,IS,66.04,-17.34,37.4,90,19.46,64,37.4,1586917546
69,Sinnamary,GF,5.38,-52.95,77.74,77,9.4,81,77.74,1586917837
70,Arklow,IE,52.79,-6.14,37.96,24,2.24,93,41.0,1586917838
71,Ténenkou,ML,14.46,-4.92,79.99,80,18.25,45,79.99,1586917838
72,Klaksvík,FO,62.23,-6.59,44.6,86,14.99,100,44.6,1586917448
73,Cherskiy,RU,68.75,161.3,9.03,100,9.91,94,9.03,1586917838
74,Lata,PT,40.16,-8.33,52.43,40,6.93,87,55.0,1586917838
75,Paragominas,BR,-2.97,-47.48,70.43,100,3.27,96,70.43,1586917685
76,Kupang,ID,-10.17,123.58,89.6,20,9.17,66,89.6,1586917839
77,Baculin,PH,7.45,126.58,88.14,83,6.31,54,88.14,1586917839
78,Dicabisagan,PH,17.08,122.42,81.43,6,6.71,71,81.43,1586917839
79,Aklavik,CA,68.22,-135.01,35.6,75,4.7,64,35.6,1586917323
80,Hithadhoo,MV,-0.6,73.08,84.79,50,2.35,65,84.79,1586917839
81,Isabela,PH,6.71,121.97,84.2,20,6.93,83,84.2,1586917840
82,Oron,NG,4.83,8.23,79.88,53,3.74,88,79.88,1586917840
83,Palmer,US,42.16,-72.33,46.53,75,4.7,31,52.0,1586917840
84,Tigil',RU,57.8,158.67,25.25,99,8.23,94,25.25,1586917841
85,Nikolskoye,RU,59.7,30.79,32.86,75,6.71,86,34.0,1586917841
86,Tamiahua,MX,21.27,-97.45,77.7,95,18.77,85,77.7,1586917841
87,Harare,ZW,-17.83,31.05,58.73,0,3.24,62,58.73,1586917731
88,Hofn,IS,64.25,-15.21,36.97,97,15.12,76,36.97,1586917842
89,Esperance,AU,-33.87,121.9,69.8,0,23.04,46,69.8,1586917842
90,Pangnirtung,CA,66.15,-65.71,8.83,84,6.76,84,8.83,1586917842
91,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,37.4,40,6.71,51,37.4,1586917561
92,Beringovskiy,RU,63.05,179.32,27.0,100,11.54,97,27.0,1586917842
93,Cabo San Lucas,MX,22.89,-109.91,70.3,5,6.93,33,73.4,1586917843
94,Tallinn,EE,59.44,24.75,33.73,90,5.82,95,35.01,1586917712
95,Dinguiraye,GN,11.3,-10.72,75.34,88,1.92,66,75.34,1586917843
96,Ratnagiri,IN,16.98,73.3,84.11,0,7.61,66,84.11,1586917323
97,Samarai,PG,-10.62,150.67,85.14,1,9.01,72,85.14,1586917618
98,Arraial do Cabo,BR,-22.97,-42.03,75.2,20,14.99,88,75.2,1586917843
99,Medicine Hat,CA,50.05,-110.67,40.75,90,10.29,80,41.0,1586917844
100,Upernavik,GL,72.79,-56.15,20.41,97,4.32,92,20.41,1586917844
101,Aykhal,RU,66.0,111.5,14.0,100,4.47,56,14.0,1586917844
102,Carnarvon,AU,-24.87,113.63,78.8,37,21.92,50,78.8,1586917844
103,Sorong,ID,-0.88,131.25,88.2,64,5.46,61,88.2,1586917369
104,Namatanai,PG,-3.67,152.43,83.52,86,1.72,70,83.52,1586917844
105,Leningradskiy,RU,69.38,178.42,15.1,100,3.65,93,15.1,1586917745
106,Hobart,AU,-42.88,147.33,58.69,90,2.24,77,61.0,1586917845
107,Ilulissat,GL,69.22,-51.1,24.8,100,3.36,85,24.8,1586917845
108,Qaanaaq,GL,77.48,-69.36,14.92,100,3.09,93,14.92,1586917845
109,Kapaa,US,22.08,-159.32,75.56,75,9.17,94,78.8,1586917845
110,Făurei,RO,45.08,27.27,39.2,75,9.17,64,39.2,1586917845
111,El Tigre,VE,8.89,-64.25,78.76,77,11.9,54,78.76,1586917846
112,Lagos,NG,6.58,3.75,82.4,20,2.24,88,82.4,1586917775
